05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:45:03.661  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:03.727  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:03.825  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.921  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:03.921  9792  9812 I option1 : 18, 334
05-08 19:45:03.939  9792  9812 I option1 : Count result: 10000
05-08 19:45:03.976  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.015  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.077  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:04.173  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.271  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.271  9792  9812 I option1 : 17, 332
05-08 19:45:04.288  9792  9812 I option1 : Count result: 10000
05-08 19:45:04.324  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.362  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.425  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:04.522  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.618  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.618  9792  9812 I option1 : 17, 330
05-08 19:45:04.635  9792  9812 I option1 : Count result: 10000
05-08 19:45:04.672  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.710  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:04.776  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:04.874  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.971  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:04.971  9792  9812 I option1 : 16, 336
05-08 19:45:04.989  9792  9812 I option1 : Count result: 10000
05-08 19:45:05.027  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:05.064  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:45:05.128  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:45:05.228  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:45:05.323  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
